Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
saddle,Saddle,Immunefi,100000,0,0,"Solidity","AMM,Yield Aggregator","Defi","ETH","Smart Contract",2023-03-08 18:00:27.766000+00:00
idlefinance,Idle Finance,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-29 15:05:11.918000+00:00
lossless,Lossless,Immunefi,50000,0,0,"Solidity","","Defi","ETH","Smart Contract",2022-11-18 16:54:50.248000+00:00
dhedge,dHEDGE,Immunefi,50000,0,0,"Solidity","Asset Management","Defi","Polygon","Smart Contract",2023-04-21 12:32:50.755000+00:00
gamma,Gamma,Immunefi,50000,0,0,"Solidity","AMM","Defi,Infrastructure","ETH","Smart Contract",2023-03-31 21:26:32.126000+00:00
latteswap,LatteSwap,Immunefi,50000,0,0,"Solidity","DEX","Defi,NFT","BSC","Smart Contract",2022-10-13 14:01:07.397000+00:00
lyra,Lyra,Immunefi,50000,0,0,"Solidity","AMM","Defi","Optimism","Smart Contract",2023-01-16 02:51:21.020000+00:00
ichi,Ichi,Immunefi,50000,0,0,"Solidity","Stablecoin","Defi","ETH","Smart Contract",2023-04-04 16:58:14.354000+00:00
foundation,Foundation,Immunefi,50000,0,0,"Solidity","","NFT","ETH","Smart Contract",2022-10-13 13:59:50.102000+00:00
integral,Integral,Immunefi,50000,0,0,"Solidity","DEX,AMM","Defi","ETH","Smart Contract",2023-08-04 16:55:29.215000+00:00
nexusmutual,Nexus Mutual,Immunefi,50000,0,0,"Solidity","Insurance","Defi","ETH","Smart Contract",2023-03-08 18:33:09.615000+00:00
immunefi,Immunefi,Immunefi,50000,18736,1385,"Solidity","Bug bounty","Infrastructure","ETH,xDAI","Smart Contract,Websites and Applications",2023-06-16 11:08:29.742000+00:00
serai,Serai,Immunefi,30000,0,0,"Rust","DEX,Crosschain Liquidity,AMM,L1","Blockchain,Defi,Exchange","","Blockchain/DLT",2023-08-04 16:09:35.543000+00:00
bosonprotocol,Boson Protocol,Immunefi,30000,117000,11004,"Solidity","","NFT","Polygon","Smart Contract,Websites and Applications",2023-08-04 16:37:45.283000+00:00
zenlink,Zenlink,Immunefi,30000,0,0,"Solidity","DEX,Crosschain Liquidity","Defi","Polkadot","Smart Contract,Websites and Applications",2023-05-03 12:55:45.460000+00:00
duetfinance,Duet Finance,Immunefi,30000,0,0,"Solidity","AMM,Wallet,Yield Aggregator","Blockchain","ETH,Polygon,BSC","Smart Contract",2022-10-24 16:23:53.737000+00:00
rubic,Rubic,Immunefi,25000,0,0,"Solidity","DEX","Defi","ETH,Arbitrum","Smart Contract",2023-07-31 13:49:19.746000+00:00
cyan,Cyan,Immunefi,25000,0,0,"Solidity","Staking,Lending","NFT","ETH,Polygon","Smart Contract",2023-07-13 03:23:06.962000+00:00
sectorfinance,Sector Finance,Immunefi,25000,0,0,"Solidity","Asset Management,Staking,Yield Aggregator","Defi","Optimism,Arbitrum","Smart Contract",2023-07-12 01:12:54.368000+00:00
aloeprotocol,Aloe Protocol,Immunefi,25000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract,Websites and Applications",2023-02-07 19:24:42.841000+00:00
liquiddriver,Liquid Driver,Immunefi,50000,0,0,"Solidity","Yield Aggregator","Defi","Fantom","Smart Contract",2023-02-06 22:03:57.961000+00:00
antefinance,Ante Finance,Immunefi,50000,0,0,"Solidity","Staking","Blockchain,Defi","ETH","Smart Contract",2022-11-10 18:26:03.687000+00:00
